volatile acidity,chlorides,sulphates,alcohol,quality
0.4,0.052,0.9,13.4,2
0.39,0.068,0.46,11.4,1
0.53,0.086,0.59,10.7,1
0.53,0.063,0.83,10.3,1
0.685,0.0579999999999999,0.55,10.9,0
0.52,0.07,0.57,10.0,1
0.47,0.147,0.86,9.9,0
0.745,0.077,0.47,9.7,1
0.29,0.063,0.84,11.7,2
0.46,0.07,0.57,9.6,0
0.24,0.077,1.05,10.8,2
0.685,0.1,0.68,11.2,2
0.54,0.076,0.64,9.8,1
0.47,0.147,0.86,9.9,0
1.09,0.061,0.43,11.4,0
0.765,0.064,0.55,9.4,1
0.24,0.077,1.05,10.8,2
0.88,0.079,0.5,11.2,0
0.56,0.065,0.68,10.55,2
0.44,0.074,0.85,12.0,2
0.55,0.072,0.48,9.0,0
0.39,0.102,0.58,11.4,0
0.53,0.039,0.86,12.4,1
0.67,0.093,0.59,9.2,0
0.635,0.241,0.59,10.3,1
0.47,0.147,0.86,9.9,0
0.67,0.093,0.59,9.2,0
1.09,0.061,0.43,11.4,0
0.955,0.075,0.44,9.6,0
0.64,0.168,0.5,9.5,1
0.61,0.088,0.51,9.3,0
0.24,0.066,0.9,11.0,2
0.41,0.095,0.76,9.9,2
0.55,0.076,0.59,10.1,1
0.615,0.087,0.53,9.7,1
0.24,0.075,1.02,10.8,2
0.49,0.422,1.17,9.0,1
0.34,0.065,0.54,11.2,2
0.725,0.086,0.39,10.9,1
0.67,0.118,0.67,11.3,1
0.62,0.08,0.62,10.1,0
0.295,0.073,0.51,10.9,1
0.98,0.061,0.55,9.7,0
0.42,0.06,0.74,14.0,2
0.44,0.074,0.85,12.0,2
0.84,0.059,0.56,12.3,2
0.56,0.064,0.62,11.7,2
0.34,0.052,0.69,12.1,2
0.58,0.076,0.58,9.5,1
0.24,0.066,0.9,11.0,2
0.935,0.105,0.64,11.3,0
0.26,0.083,0.63,11.8,2
0.68,0.072,1.08,9.2,0
1.58,0.1369999999999999,0.4,10.9,0
1.02,0.045,0.48,10.5,0
0.61,0.2,0.63,8.4,0
0.885,0.0579999999999999,0.33,9.1,0
0.28,0.067,1.04,10.6,1
0.88,0.079,0.5,11.2,0
0.37,0.066,0.6,13.0,2
0.51,0.107,0.66,11.8,2
1.02,0.045,0.48,10.5,0
0.33,0.061,1.1,10.0,2
0.47,0.171,0.76,10.8,1
0.765,0.084,0.68,10.9,1
0.23,0.063,0.63,11.1,1
0.39,0.118,0.75,9.8,1
0.735,0.081,0.57,9.8,1
0.41,0.104,0.58,9.1,1
0.39,0.102,0.58,11.4,0
0.55,0.072,0.48,9.0,0
0.41,0.095,0.76,9.9,2
0.61,0.2,0.63,8.4,0
0.875,0.0819999999999999,0.52,10.2,0
0.56,0.105,0.52,11.0,1
0.3,0.05,0.51,12.3,2
0.31,0.109,0.79,11.8,2
0.58,0.069,0.66,12.6,1
0.31,0.06,0.83,10.9,2
1.02,0.083,0.55,11.2,0
0.25,0.0409999999999999,0.71,12.5,2
1.58,0.1369999999999999,0.4,10.9,0
1.02,0.083,0.55,11.2,0
0.29,0.063,0.84,11.7,2
0.61,0.2,0.63,8.4,0
0.4,0.071,0.69,12.5,2
0.54,0.071,0.62,9.4,1
0.53,0.123,0.67,11.0,0
0.18,0.071,0.76,11.8,2
